Name,Url,Authority,Started On,Finished On,License Number
Selenium WebDriver with Java,https://testautomationu.applitools.com/certificate/?id=e213c898,TestAutomationU,Jul 2022,,e213c898
Setting a Foundation For Successful Test Automation,https://testautomationu.applitools.com/certificate/?id=6fd47c7e,TestAutomationU,Jul 2022,,6fd47c7e
API Test Automation With Postman,https://testautomationu.applitools.com/certificate/?id=ef3a7a88,TestAutomationU,Jul 2022,,ef3a7a88
Codeless Test Automation With Selenium IDE,https://testautomationu.applitools.com/certificate/?id=8ed9fecc,TestAutomationU,Aug 2022,,8ed9fecc
Technical Support Fundamentals,https://www.coursera.org/account/accomplishments/verify/V7VNPVVMWU7Y,Coursera,Sep 2023,,
Test Automation with Python: 1 Introduction to Automated Testing,https://www.linkedin.com/learning/certificates/65bea1bfbb0a84b73807583a62f8c02e4a8a8b2d81baa299fb0fc5c52451767d,LinkedIn,Jul 2025,,
Master JMeter from Basics (Performance + Load + API Testing),https://www.udemy.com/certificate/UC-a7b27ce2-336e-47f7-b3d8-bcf262d35a8c/,Udemy,Jan 2026,,UC-a7b27ce2-336e-47f7-b3d8-bcf262d35a8c
Introduction to Software Testing,https://www.coursera.org/account/accomplishments/records/29AL761ZJXMQ,University of Minnesota,Feb 2026,,29AL761ZJXMQ
Playwright JS/TS Automation Testing from Scratch & Framework,https://www.udemy.com/certificate/UC-ca9bcf36-86ad-4f11-8e84-af2ae45daa4c/,Udemy,Apr 2026,,UC-ca9bcf36-86ad-4f11-8e84-af2ae45daa4c
